"seed" "model" "Rhat.1.05" "N..Divergent" "N..Low.BFMI" "Excedeed.Treedepth" "Low.Bulk.ESS" "Low.Tail.ESS" "ACF.1" "ACF.2" "ACF.3" "PACF" "LPACF" "MSSD" "itcor.Item_1" "itcor.Item_2" "itcor.Item_3" "itcor2.Item_1" "itcor2.Item_2" "itcor2.Item_3" "itcor3.Item_1" "itcor3.Item_2" "itcor3.Item_3" "q1.Item_1" "q1.Item_2" "q1.Item_3" "q1alt.Item_1" "q1alt.Item_2" "q1alt.Item_3" "lpacf.Item_1" "lpacf.Item_2" "lpacf.Item_3" "ppp.q3.2.1." "ppp.q3.3.1." "ppp.q3.3.2." "OR.2.1." "OR.3.1." "OR.3.2." "ppp.ordiff.2.1." "ppp.ordiff.3.1." "ppp.ordiff.3.2." "ppp.resid.2.1." "ppp.resid.3.1." "ppp.resid.3.2." "ppp.rediff.2.1." "ppp.rediff.3.1." "ppp.rediff.3.2."
1007 "Random" 0 0 0 0 0 0 0.416 0.579 0.702 0.346 0.585 0.605 0.222 0.986 0.133 0.443 0.98 0.199 0.428 0.983 0.33 0.32 0.563 0.323 0.007 0.247 0.226 0.004 0.689 0.044 0.06 0.996 0.132 0.916 0 0.441 0.008 0.04 0.094 0.117 0.018 0.341 0.781 0.004 0.894
1007 "HalfDrift" 0 0 0 0 0 0 0.326 0.671 0.519 0.233 0.674 0.666 0.977 0.132 0.621 0.976 0.442 0.837 0.958 0.779 0.93 0.525 0.191 0.634 0.247 0.001 0.021 0.431 0.007 0.047 0.314 0.018 0.876 0.832 0.655 0.346 0.654 0.752 0.401 0.582 0.061 0.137 0.707 0.671 0.143
1008 "Meaning" 0 0 0 0 0 0 0.519 0.686 0.37 0.29 0.484 0.462 0.878 0.797 0.026 0.93 0.876 0.037 0.904 0.799 0.132 0.404 0.604 0.125 0.21 0.078 0.006 0.06 0.066 0.014 0.002 0.854 0.881 0.922 0.019 0.309 0.893 0.226 0.092 0.013 0.201 0.17 0.622 0.101 0.145
1008 "Default" 0 0 0 0 0 0 0.397 0.817 0.339 0.144 0.616 0.608 0.422 0.687 0.984 0.642 0.873 0.96 0.823 0.898 0.996 0.432 0.261 0.39 0.009 0 0 0 0.208 0.236 0.921 0.307 0.022 0.887 0.921 1 0.992 0.992 1 0.326 0.519 0.264 0.087 0.477 0.921
1008 "Random" 0 0 0 0 0 0 0.468 0.706 0.388 0.262 0.519 0.499 0.094 0.442 0.886 0.136 0.607 0.847 0.111 0.66 0.877 0.279 0.354 0.509 0.024 0.072 0.192 0.086 0.433 0.271 0.974 0.642 0.042 0.048 0.226 0.977 0.27 0.225 0.287 0.082 0.601 0.214 0.025 0.222 0.913
1008 "HalfDrift" 0 0 0 0 0 0 0.554 0.586 0.643 0.44 0.459 0.431 0.992 0.053 0.292 0.99 0.31 0.634 0.995 0.917 0.578 0.538 0.04 0.512 0.774 0 0.004 0.357 0 0 0.15 0.126 0.959 0.843 0.688 0.026 0.02 0.9 0.162 0.544 0.078 0.031 0.167 0.225 0.201
1009 "Meaning" 0 0 0 0 0 0 0.667 0.472 0.825 0.512 0.348 0.299 0.855 0.853 0.005 0.8 0.942 0.007 0.884 0.935 0.015 0.61 0.509 0.226 0.899 0.084 0.039 0.102 0.113 0 0.001 0.978 0.966 0.989 0.446 0.092 0.015 0.02 0.306 0.007 0.061 0.059 0.008 0.076 0.049
1009 "Default" 0 0 0 0 0 0 0.69 0.541 0.599 0.552 0.379 0.314 0.984 0.998 0.033 0.882 0.999 0.168 0.982 0.987 0.614 0.27 0.27 0.007 0.032 0.03 0.001 0.03 0.298 0.002 0 0.815 0.679 0.986 1 0.985 0.562 1 1 0.006 0.228 0.366 0.025 0.19 0.31
1009 "Random" 0 0 0 0 0 0 0.7 0.583 0.844 0.474 0.319 0.228 0.409 0.929 0.013 0.357 0.94 0.018 0.259 0.872 0.074 0.635 0.566 0.071 0.588 0.365 0.002 0.161 0.731 0 0.074 0.987 0.479 0.972 0.029 0.072 0.011 0.012 0.302 0.064 0.017 0.438 0.174 0.098 0.812
1009 "HalfDrift" 0 0 0 0 0 0 0.642 0.362 0.728 0.624 0.371 0.378 0.899 0.242 0.683 0.961 0.593 0.681 0.959 0.692 0.97 0.599 0.207 0.437 0.757 0.012 0 0.599 0.005 0.024 0.174 0.175 0.646 0.411 0.655 0.287 0.526 0.465 0.073 0.601 0.23 0.357 0.23 0.432 0.927
1010 "Meaning" 0 0 0 0 0 0 0.734 0.496 0.494 0.548 0.319 0.269 0.242 1 0.107 0.226 1 0.295 0.403 0.999 0.597 0.453 0.556 0.294 0.087 0.253 0 0.003 0.183 0.001 0.002 0.992 0.126 0.925 0.157 0.77 0.595 0.086 0.003 0.016 0.025 0.307 0.607 0.068 0.976
1010 "Default" 0 0 0 0 0 0 0.83 0.537 0.493 0.577 0.236 0.137 0.018 0.085 1 0.046 0.572 1 0.595 0.918 1 0.17 0.057 0.282 0.001 0 0 0 0 0.45 1 0.088 0 0.983 1 1 1 1 1 0 0.132 0.016 0 0.421 1
1010 "Random" 0 0 0 0 0 0 0.695 0.603 0.378 0.366 0.347 0.294 0.042 0.253 0.974 0.07 0.618 0.974 0.145 0.806 0.934 0.313 0.053 0.54 0.003 0 0.55 0 0.006 0.274 1 0.642 0.007 0.006 0.308 0.982 0.202 0.008 0 0.001 0.609 0.063 0.014 0.274 0.991
1010 "HalfDrift" 0 0 0 0 0 0 0.78 0.436 0.464 0.738 0.252 0.201 0.99 0.186 0.437 0.96 0.548 0.425 0.951 0.712 0.5 0.524 0.066 0.535 0.284 0.008 0.21 0.078 0.022 0.228 0.029 0.222 0.787 0.744 0.608 0.023 0.954 0.586 0.316 0.498 0.23 0.151 0.024 0.462 0.153
